sku,brand,model_name,target_segment,cpu_model,cinebench_r23_score,gpu_model,threedmark_score,is_gpu_integrated,ram_gb,ram_generation,storage_gb,storage_type,display_size_inches,weight_kg,min_discount_price_inr,avg_normal_price_inr,max_mrp_price_inr,max_discount_percentage,current_price_inr,rating
SKU-APPLE-0262,APPLE,MacBook Air M3,Creator,Apple M3,11800,Apple M3 10-core GPU,4800,True,16,DDR4,512,SSD,13.0,1.7,101112,114900,135582,25.4,114900,4.7
SKU-DELL-0263,DELL,Intel Core i5 13th Gen,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,14.0,1.7,50151,56990,67248,25.4,56990,4.0
SKU-ACER-0264,ACER,Swift X Intel Core i7 11th Gen 11390H,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,16,LPDDR4X,1024,SSD,16.1,2.2,63360,72000,84960,25.4,72000,4.0
SKU-SAMSUNG-0265,SAMSUNG,Galaxy Book3 Intel Core i5 13th Gen 1335U,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,LPDDR4X,512,SSD,15.6,1.4,42745,48574,57317,25.4,48574,4.3
SKU-DELL-0266,DELL,Intel Core i5 12th Gen 1235U,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,41175,46790,55212,25.4,46790,4.1
SKU-DELL-0267,DELL,Inspiron 7440 Intel Core 3 100U,Student,Intel 100U,7400,Intel Iris Xe Graphics,1600,True,8,DDR5,512,SSD,14.0,1.4,40480,46000,54280,25.4,46000,4.0
SKU-LENOVO-0268,LENOVO,LOQ Intel Core i5 12th Gen 12450H,Gamer,Intel 12450H,11800,NVIDIA Dedicated Graphics,5000,False,16,DDR5,512,SSD,16.0,2.2,63360,72000,84960,25.4,72000,4.3
SKU-APPLE-0269,APPLE,M3,Creator,Apple M3,11800,Apple M3 10-core GPU,4800,True,16,DDR4,256,SSD,13.6,1.7,101112,114900,135582,25.4,114900,4.6
SKU-MSI-0270,MSI,Pulse GL66 Intel Core i7 11th Gen 11800H,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,16,DDR4,1024,SSD,16.0,2.2,63360,72000,84960,25.4,72000,4.5
SKU-MSI-0271,MSI,Prestige 16 Intel Core i7 13th Gen 13700H,Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,LPDDR5,1024,SSD,16.0,1.7,50151,56990,67248,25.4,56990,4.0
SKU-LENOVO-0272,LENOVO,LOQ Intel Core i7 13th Gen 13620H,Gamer,Intel 13620H,16800,NVIDIA Dedicated Graphics,5000,False,16,DDR5,512,SSD,15.6,2.2,90631,102990,121528,25.4,102990,4.2
SKU-MICROSOFT-0273,MICROSOFT,12'' with Type Cover Core 8 Qualcomm Snapdragon X Plus,Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,LPDDR5X,512,SSD,16.0,1.7,50151,56990,67248,25.4,56990,4.0
SKU-APPLE-0274,APPLE,M3,Creator,Apple M3,11800,Apple M3 10-core GPU,4800,True,24,DDR4,512,SSD,13.6,1.7,101112,114900,135582,25.4,114900,4.0
SKU-DELL-0275,DELL,5400 Intel Core i5 8th Gen,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,256,SSD,15.6,1.4,33440,38000,44840,25.4,38000,2.0
SKU-LENOVO-0276,LENOVO,Yoga 9 4K OLED Intel Evo Intel Core i7 13th Gen 1360P,Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,LPDDR5,1024,SSD,14.0,1.7,50151,56990,67248,25.4,56990,4.0
SKU-SAMSUNG-0277,SAMSUNG,Galaxy Book4 360 Evo Intel Core 5 120U,Creator,Intel 120U,9800,Intel Iris Xe Graphics,1600,True,16,LPDDR5,512,SSD,16.0,1.7,63360,72000,84960,25.4,72000,4.4
SKU-MICROSOFT-0278,MICROSOFT,Surface Pro (11th Edition) AI PC Snapdragon X Plus,Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,LPDDR5X,512,SSD,13.0,1.7,50151,56990,67248,25.4,56990,4.0
SKU-APPLE-0279,APPLE,MacBook Pro M4 Max,Creator,Apple M1,7800,Apple M1 7-core GPU,1600,True,36,DDR4,1024,SSD,14.0,1.7,114400,130000,153400,25.4,130000,4.8
SKU-INFINIX-0280,INFINIX,Y1 Plus Neo Intel Celeron Quad Core 11th Gen N5100,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,16,LPDDR4X,128,SSD,15.6,1.4,22880,26000,30680,25.4,26000,3.9
SKU-MSI-0281,MSI,Prestige 16 Studio AI PC Intel Core Ultra 7 155H,Creator,Intel Core Ultra 7 155H,14800,Intel Arc Graphics,3800,True,32,LPDDR5,1024,SSD,16.0,1.7,118791,134990,159288,25.4,134990,4.0
SKU-ASUS-0283,ASUS,Intel Core 5 1st Gen,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,45509,51715,61024,25.4,51715,4.0
SKU-LENOVO-0284,LENOVO,LOQ Intel Core i5 12th Gen 12450H,Gamer,Intel 12450H,11800,NVIDIA Dedicated Graphics,5000,False,16,DDR5,512,SSD,15.6,2.2,63360,72000,84960,25.4,72000,4.3
SKU-LENOVO-0285,LENOVO,IdeaPad Slim 5 Intel Core i5 11th Gen 1135G7,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,15.6,1.7,52351,59490,70198,25.4,59490,4.3
SKU-ACER-0286,ACER,Predator Helios 16 Intel Core i9 14th Gen 14900HX,Gamer,Intel Helio,2100,Intel Iris Xe Graphics,1600,True,16,DDR5,1024,SSD,16.0,2.2,22880,26000,30680,25.4,26000,4.5
SKU-HP-0287,HP,Intel Core i5 13th Gen 1334U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,45663,51890,61230,25.4,51890,4.1
SKU-LENOVO-0288,LENOVO,LOQ Intel Core i5 12th Gen 12450H,Gamer,Intel 12450H,11800,NVIDIA Dedicated Graphics,5000,False,16,DDR5,512,SSD,16.0,2.2,63360,72000,84960,25.4,72000,4.2
SKU-ASUS-0289,ASUS,ROG Strix Scar 16 Intel Core i9 14th Gen 14900HX,Gamer,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,2048,SSD,16.0,2.2,55431,62990,74328,25.4,62990,4.0
SKU-HP-0290,HP,15s Intel Core i5 11th Gen,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,42415,48199,56875,25.4,48199,4.0
SKU-MSI-0291,MSI,Katana 15 HX Intel Core i9 14th Gen 14900HX,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,32,DDR5,1024,SSD,14.0,2.2,63360,72000,84960,25.4,72000,4.0
SKU-ASUS-0292,ASUS,Intel Core i5 13th Gen 1335U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,16.0,1.7,43111,48990,57808,25.4,48990,4.0
SKU-ACER-0293,ACER,Aspire 3 (2025) Intel Core i3 13th Gen 1305U,Student,Intel 1305U,6800,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,28151,31990,37748,25.4,31990,4.0
SKU-LENOVO-0294,LENOVO,IdeaPad Slim 5 Intel Core i5 12th Gen Integrated Intel Iris Xe Graphics,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,56619,64340,75921,25.4,64340,4.0
SKU-ACER-0295,ACER,Swift 14 AI Intel Core Ultra 5,Creator,Intel Core Ultra 5 125H,12800,Intel Arc Graphics,3400,True,16,LPDDR5X,512,SSD,14.0,1.7,69511,78990,93208,25.4,78990,4.0
SKU-MSI-0296,MSI,Katana GF66 Intel Core i7 12th Gen 12650H,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,8,DDR4,512,SSD,15.6,2.2,63360,72000,84960,25.4,72000,4.0
SKU-LENOVO-0297,LENOVO,Intel Core i5 13th Gen,Gamer,Intel Core i5,10500,NVIDIA GeForce RTX 3050,5200,False,24,DDR5,512,SSD,15.6,2.2,74800,85000,100300,25.4,85000,4.0
SKU-MSI-0298,MSI,Raider A18 HX AMD Ryzen 9 16 Core 7th Gen 7945HX,Creator,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR5,1024,SSD,18.0,1.7,55431,62990,74328,25.4,62990,4.0
SKU-MSI-0299,MSI,Crosshair 16 HX AI Intel Core Ultra 9 275HX,Gamer,Intel Core Ultra 9 185H,18200,NVIDIA Dedicated Graphics,5000,False,16,DDR5,1024,SSD,16.0,2.2,158391,179990,212388,25.4,179990,4.0
SKU-ASUS-0300,ASUS,Zenbook 14 OLED Intel EVO P Series Intel Core i5 12th Gen 1240P,Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,LPDDR5,512,SSD,14.0,1.7,50151,56990,67248,25.4,56990,4.0
SKU-HP-0301,HP,15 (2025) Intel Core i3 12th Gen 1215U,Student,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.4,33871,38490,45418,25.4,38490,4.0
SKU-MSI-0302,MSI,Vector GP68HX Intel Core i9 13th Gen 13980HX,Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,1024,SSD,16.0,1.7,55431,62990,74328,25.4,62990,4.0
SKU-MSI-0303,MSI,Vector 16 HX Intel Core i7 14th Gen 14700HX,Gamer,Intel 14700HX,28500,NVIDIA Dedicated Graphics,5000,False,32,DDR5,1024,SSD,16.0,2.2,158400,180000,212400,25.4,180000,4.0
SKU-HP-0304,HP,14s Intel Core i3 12th Gen 1215U,Student,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,14.0,1.4,32551,36990,43648,25.4,36990,3.7
SKU-HP-0305,HP,OMEN Intel Core i5 13th Gen 13420H,Gamer,Intel 13420H,12200,NVIDIA Dedicated Graphics,5000,False,16,DDR5,512,SSD,16.1,2.2,79200,90000,106200,25.4,90000,4.0
SKU-HP-0306,HP,OMEN Intel Core i7 13th Gen 13700HX,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,16,DDR5,512,SSD,16.0,2.2,63360,72000,84960,25.4,72000,4.0
SKU-HP-0307,HP,Envy x360 AMD Ryzen 7 Octa Core 7730U,Creator,AMD Ryzen 7 7730U,11500,AMD Radeon Graphics,1500,True,16,LPDDR4X,512,SSD,15.6,1.7,76735,87199,102895,25.4,87199,3.8
SKU-SAMSUNG-0308,SAMSUNG,Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 5 226V,Creator,Intel Core Ultra 5 226V,12500,Intel Arc Graphics 130V,3600,True,16,LPDDR5X,512,SSD,14.0,1.7,69511,78990,93208,25.4,78990,4.3
SKU-DELL-0309,DELL,14 Qualcomm Snapdragon X Plus,Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,LPDDR5,512,SSD,14.0,1.7,50151,56990,67248,25.4,56990,4.0
SKU-HP-0314,HP,15 G10 (2025) AMD Athlon Dual Core 7120U,Student,Intel 120U,9800,AMD Radeon Graphics,1500,True,8,DDR4,256,SSD,15.6,1.4,33440,38000,44840,25.4,38000,3.9
SKU-ASUS-0315,ASUS,TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,Gamer,Intel Core i5,10500,AMD Radeon Graphics,1500,True,8,DDR5,512,SSD,15.6,2.2,48391,54990,64888,25.4,54990,4.3
SKU-LENOVO-0316,LENOVO,Idea Pad Slim 3 Intel Core i7 13th Gen 13620H,Professional,Intel 13620H,16800,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,16.0,1.7,58071,65990,77868,25.4,65990,3.8
SKU-HP-0317,HP,15 G9 (2025) AMD Ryzen 3 Dual Core 3250U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR4,512,SSD,16.0,1.4,33440,38000,44840,25.4,38000,4.0
SKU-ASUS-0318,ASUS,Vivobook 16X (2025) for Creator,Professional,Intel 13420H,12200,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,57719,65590,77396,25.4,65590,4.2
SKU-APPLE-0319,APPLE,MacBook Air M4,Creator,Apple M1,7800,Apple M1 7-core GPU,1600,True,24,DDR4,512,SSD,15.6,1.7,114400,130000,153400,25.4,130000,5.0
SKU-HP-0320,HP,Victus Intel Core i5 12th Gen,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,16,DDR4,512,SSD,16.0,2.2,51567,58599,69147,25.4,58599,4.3
SKU-HP-0321,HP,Chromebook Intel Celeron Dual Core N4120,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,16,DDR4,64,eMMC,14.0,1.4,20407,23190,27364,25.4,23190,3.9
SKU-HP-0322,HP,MS Office 2024 Intel Core i3 13th Gen 1315U,Student,Intel 1315U,7100,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,31671,35990,42468,25.4,35990,4.1
SKU-ASUS-0323,ASUS,Vivobook S14 (2025),Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,15.6,1.7,50151,56990,67248,25.4,56990,4.4
